Title,Date Published,Author(s),URL,300-word Summary
FY2024 National Security Supplemental Funding: Defense Appropriations,4/25/24,Cameron M. Keys; Luke A. Nicastro,www.congress.gov/crs-report/IN12274,"Background On October 20, 2023, the Biden Administration submitted to Congress a request for FY2024 emergency supplemental appropriations to address “key national security priorities.” President Biden characterized the request as a response to Hamas’ terrorist attacks against Israel and the ongoing Russian invasion of Ukraine, and asked for approximately $58.6 billion in budget authority for the Department of Defense (DOD), as well as funds for other executive departments and agencies (e.g., the Departments of State and Homeland Security). On February 13, 2024, the Senate passed the National Security Act, 2024 (H.R. 815), which would have, among other things, provided approximately $67.3 billion in budget authority to DOD for purposes relating to Ukraine, Israel, and the submarine industrial base. The House did not take up this bill, as passed by the Senate. On April 20, 2024, the House passed a series of bills—including the Israel Security Supplemental Appropriations Act, 2024 (H.R. 8034), the Ukraine Security Supplemental Appropriations Act, 2024 (H.R. 8035), and the Indo-Pacific Security Supplemental Appropriations Act, 2024 (H.R. 8036)—that included approximately $67.3 billion in DOD budget authority for purposes relating to Israel, Ukraine, and the Indo-Pacific. On April 23, 2024, the Senate approved these measures as a consolidated bill (H.R. 815), and on April 24, 2024, President Biden signed this bill into law as P.L. 118-50. The enacted appropriations included funding for military personnel (MILPERS); operation and maintenance (O&M); research, development, test, and evaluation (RDT&E); procurement; and military construction (MILCON) accounts, as well as for Defense Production Act of 1950 (DPA) purchases. P.L. 118-50 also made appropriations for non-defense accounts, and included policy provisions—such as the increase of Presidential Drawdown Authority (PDA; 22 U.S.C. §2318) from $100 million to $7.8 billion for FY2024—relevant to defense issues. Table 1 provides information on requested, proposed, and enacted supplemental FY2024 DOD appropriations...."
"The Defense Production Act of 1950: History, Authorities, and Considerations for Congress",10/6/23,Luke A. Nicastro; Alexandra G. Neenan,www.congress.gov/crs-report/R43767,"The Defense Production Act (DPA) of 1950 (P.L. 81-774, 50 U.S.C. §§4501 et seq.), as amended, confers upon the President a broad set of authorities to influence domestic industry in the interest of national defense. The authorities can be used across the federal government to shape the domestic industrial base so that, when called upon, it is capable of providing essential materials and goods needed for the national defense. Though initially passed in response to the Korean War, the DPA is historically based on the War Powers Acts of World War II. Gradually, Congress has expanded the term national defense, as defined in the DPA. Based on this definition, the scope of DPA authorities now extends beyond shaping U.S. military preparedness and capabilities, as the authorities may also be used to enhance and support domestic preparedness, response, and recovery from natural hazards, terrorist attacks, and other national emergencies. Current DPA authorities include Title I: Priorities and Allocations, which allows the President to require persons (including businesses and corporations) to prioritize and accept contracts for materials and services as necessary to promote the national defense. Title III: Expansion of Productive Capacity and Supply, which allows the President to incentivize the domestic industrial base to expand the production and supply of critical materials and goods. Authorized incentives include loans, loan guarantees, direct purchases and purchase commitments, and the authority to procure and install equipment in private industrial facilities. Title VII: General Provisions, which includes key definitions for the DPA and several distinct authorities, including the authority to establish voluntary agreements with private industry; the authority to block proposed or pending foreign corporate mergers, acquisitions, or takeovers that threaten national security; and the authority to employ persons of outstanding experience and ability and to establish a volunteer pool of industry executives who could..."
Transfer of Defense Articles: U.S. Sale and Export of U.S.-Made Arms to Foreign Entities,3/23/23,Christina L. Arabia; Nathan J. Lucas; Michael J. Vassalotti,www.congress.gov/crs-report/R46337,"An extensive set of laws, regulations, policies, and procedures govern the sale and export of U.S.-origin weapons to foreign countries (“defense articles and defense services,” officially). Congress has authorized such sales under two laws: The Foreign Assistance Act (FAA) of 1961, 22 U.S.C. §2151, et seq. The Arms Export Control Act (AECA) of 1976, 22 U.S.C. §2751, et seq. The FAA and AECA govern all transfers of U.S.-origin defense articles and services, whether they are commercial sales, government-to-government sales, or provided with U.S.-appropriated funds through security assistance/security cooperation programs. These transfers can occur under Title 22 (Foreign Relations) or Title 10 (Armed Services) authorities. Arms sold or transferred under these authorities are regulated by the International Traffic in Arms Regulations (ITAR) and the U.S. Munitions List (USML), which are located in Title 22, Parts 120-130 of the Code of Federal Regulations (C.F.R.). The two main methods for the sale and export of U.S.-made weapons under these authorities are the Foreign Military Sales (FMS) program and Direct Commercial Sales (DCS) licenses. Some other arms sales occur from current Department of Defense (DOD) stocks through Excess Defense Articles (EDA) provisions. For FMS, the U.S. government procures defense articles as an intermediary for international partners’ acquisition of defense articles and defense services, which allows partners to benefit from U.S. DOD technical and operational expertise, procurement infrastructure, and purchasing practices. For DCS, registered U.S. firms may sell defense articles directly to international partners. The U.S. government is not party to the arms agreement, but defense firms must still apply for an export license from the State Department. In some cases where U.S. firms have entered into international partnerships to produce some major weapons systems, comprehensive export regulations under 22 C.F.R. 126.14 are intended to allow exports and technical data for those systems without having..."
"Department of Defense Appropriations Act, 2023: Overview and Selected Issues",1/8/24,Pat Towell; Cameron M. Keys,www.congress.gov/crs-report/R47896,"The annual Department of Defense appropriations act provides discretionary funding for nearly all military-related activities of the Department of Defense (DOD) except the construction of facilities and the provision of family housing for authorized military personnel, which typically are funded in separate appropriations legislation. The Department of Defense Appropriations Act, 2023, enacted as Division C of the Consolidated Appropriations Act, 2023 (P.L. 117-328), provides $788.5 billion in discretionary budget authority, which amounts to $36.0 billion (4.8%) more than the Biden Administration’s $752.4 billion request for programs covered by the act. Compared to the corresponding funding legislation for FY2022, the FY2023 bill provides an increase of $68.9 billion (9.6%) for defense programs (see table below). Neither the House nor the Senate passed a freestanding FY2023 defense appropriations bill. The House Appropriations Committee (HAC), after 18 Subcommittee on Defense hearings from March to May 2022, voted 32-26 on June 22, 2022, to introduce such a bill (H.R. 8236) with an accompanying report (H.Rept. 117-388) comparing committee funding decisions to DOD’s requested amounts. Upon introduction, the House took no further action on that bill. The Senate Appropriations Committee (SAC) held eight Subcommittee on Defense (SAC-D) hearing sessions from March to June 2022. Concurrent with publication of the SAC chairman’s mark on the committee’s website, SAC-D Chairman Senator Jon Tester introduced an FY2023 defense appropriations bill (S. 4663) on July 28, 2022, on which neither the full Appropriations Committee nor the Senate took further action. Bicameral, bipartisan negotiations produced a final version of the defense appropriations bill, which, along with the texts of 11 other appropriations bills, was substituted for the text of H.R. 2617 by process of amendment. The defense bill was designated as Division C of the resulting Consolidated Appropriations Act, 2023, which the Senate passed on December 22, 2022, by a..."
Rights-of-Way for Access On or Through Tribal Lands,8/26/25,Mariel J. Murray; Benjamin M. Barczewski,www.congress.gov/crs-report/IF12825,"Congress has constitutional authority over issues relating to federally recognized Tribes (hereinafter, Tribes), which it has used to regulate access on and through tribal lands. In addition, the federal government has a federal trust responsibility to protect tribal treaty rights, lands, assets, and water resources on behalf of Tribes and tribal citizens (e.g., Seminole Nation v. United States, 316 U.S. 286, 296-297 (1942)). Pursuant to these mandates, the Bureau of Indian Affairs (BIA) within the Department of the Interior (DOI) oversees the process for granting rights-of-way (ROWs) on or through tribal lands. An ROW is a kind of easement, or nonpossessory legal right to use or control land for a particular purpose. An ROW provides a right to the easement holder to pass through property owned by another—in this case, tribal land. This CRS product discusses BIA’s ROW process and selected issues for Congress. Overview of Tribal Lands The federal trust responsibility and various statutes make tribal lands a unique form of property in the American legal system. Each Tribe’s geographic location and history with the United States may impact current tribal land holdings. Many Tribes have reservations, which include lands reserved for a Tribe (or multiple Tribes) by treaty, statute, or other agreement. For tribally owned land within reservations, or in certain cases an area of land constituting the Tribe’s former reservation as defined by the Secretary of the Interior (25 C.F.R. §151.2), Tribes generally have the ability to decide how those lands are used. Tribal reservations may include a mix of tribal land types, such as trust lands, which are lands or interests in land that are held in trust by the federal government (BIA holds title to the land) for the benefit of a Tribe or tribal citizen. Trust lands generally may not be alienated or encumbered..."
Proposed Transfer of Space Aligned National Guard Units,5/14/24,Sarah Gee; Jennifer DiMascio,www.congress.gov/crs-report/IN12377,"On March 29, 2024, the Secretary of the Air Force (SECAF) submitted a legislative proposal (LP480) asking Congress to allow transfer of “covered space functions” of the Air National Guard (ANG) to the U.S. Space Force (USSF) and waive 32 U.S.C. §104(c) and 10 U.S.C. §18238, which generally require state governors to approve changes in the organization, allotment, relocation, or withdraw of National Guard units within their states. The National Guard Bureau (NGB) (the federal agency responsible for administration of the National Guard), governors from 50 states and 5 U.S. territories, and others oppose LP480. Congress may consider whether to accept, reject, or modify LP480 as part of the FY2025 National Defense Authorization Act (NDAA). Background The FY2020 NDAA, P.L. 116-92, Subtitle D, established USSF as an armed service within the Department of the Air Force (DAF). Upon USSF establishment in 2019, space functions of the Air Force, and the Departments of the Army and Navy, transferred to the USSF. Some space functions remained in the Air National Guard (ANG). Congress has not enacted legislation to transfer space functions from the ANG to the USSF or to establish a Space National Guard. FY2024 NDAA, Section 924, directed the Secretary of Defense to study “the feasibility and advisability of transferring the space components of the Air National Guard to the Space Force,” and address three courses of action (1) maintaining the current model with ANG units and personnel performing space functions; (2) transferring ANG space functions, including units and personnel, to the USSF; and (3) establishing a Space National Guard. The resulting study, dated April 2024, recommends “transfer of covered space functions from the ANG to the Space Force,” including nine units totaling 578 positions in six states (see Table 1). Table 1. DAF Recommended Air National Guard Units for Space..."
Automated License Plate Readers: Background and Legal Issues,7/21/25,Peter G. Berris; Kristin Finklea; Dave S. Sidhu,www.congress.gov/crs-report/IF13068,"Automated license plate readers (ALPRs) are camera systems that capture the license plate data of vehicles, along with related information. They are generally available in fixed and mobile formats. Fixed ALPR systems are mounted in specific locations, often using existing infrastructure such as light poles, traffic lights, buildings, or bridges. Mobile ALPR systems are frequently mounted on police vehicles or privately contracted vehicles. Although details vary by system and jurisdiction, information obtained from ALPR systems may be included in certain databases—whether maintained by public or private entities—that are accessible or searchable by law enforcement. Law enforcement agencies use ALPRs for a variety of proactive and reactive policing purposes, including to gather intelligence and evidence, help identify potential suspects, and facilitate crime scene analysis. Law enforcement use of ALPRs raises a range of questions for policymakers and the public. For instance, one consideration is how ALPR use may, while aiding criminal investigations, potentially infringe upon individuals’ privacy and civil liberties—in particular, Fourth Amendment protections from unreasonable searches and seizures. In general, courts have found that “mere observation” of an object in plain view does not implicate the Fourth Amendment, which suggests that law enforcement’s initial reading of a license plate using an ALPR is ordinarily not a Fourth Amendment search absent additional circumstances. The ALPR caselaw typically focuses instead on the related question of whether law enforcement queries of certain databases containing ALPR information amount to a Fourth Amendment search. No federal appellate court has decided that issue, although one circuit court judge discussed it in a concurrence. A number of federal trial courts and some state courts have upheld law enforcement access to such databases, while cautioning that warrantless surveillance through ALPRs could violate the Fourth Amendment in some circumstances. This In Focus provides an overview of ALPRs, select Fourth..."
First Amendment: Government Retaliation for Protected Expression,7/10/25,Eric N. Holmes,www.congress.gov/crs-report/LSB11338,"The Free Speech Clause of the First Amendment provides that “Congress shall make no law . . . abridging the freedom of speech.” The clause applies to any government action, whether federal, state, or local. Individuals may be able to challenge violations of their free speech rights in a variety of ways. One basis for such a challenge may be that an official took adverse action against an individual in response to the individual engaging in protected speech—often known as a First Amendment retaliation claim. First Amendment retaliation may arise in a variety of circumstances. For example, during its 2023 term, the U.S. Supreme Court heard a case involving an alleged retaliatory arrest of a former city councilmember. In 2025, law firms have raised First Amendment retaliation claims against the Trump Administration based on the President’s executive orders aimed at specific firms. This Legal Sidebar first provides an overview of the elements of First Amendment retaliation. Although lower courts vary in their precise formulation of these elements, the Supreme Court has identified three general considerations. To demonstrate First Amendment retaliation, an individual must show that (1) they have engaged in expression protected by the First Amendment, (2) a government official took an adverse action against the individual, and (3) the individual’s protected expression motivated the official to take the adverse action. The Legal Sidebar concludes with a brief discussion of the relief available for First Amendment retaliation claims. Protected Expression Plaintiffs claiming First Amendment retaliation must first demonstrate that they have engaged in expression subject to the protection of the First Amendment’s Free Speech Clause. The written and spoken word are paradigmatic examples of “speech” protected by the First Amendment. As discussed in this essay in the Constitution Annotated, the Free Speech Clause applies to a range of expressive conduct..."
Electric Vehicle Technologies and Selected Policy Issues for the 119th Congress,8/27/25,Melissa N. Diaz,www.congress.gov/crs-report/R48648,"Electric vehicles (EVs) remain a focus of transportation and energy policy in the United States. EVs—comprising hybrid-electric vehicles (HEVs), plug-in hybrid-electric vehicles (PHEVs), and battery-electric vehicles (BEVs)—are alternatives to conventional internal combustion engine (ICE) vehicles powered by petroleum-based fuels. EVs are part of a broader effort to reduce greenhouse gas (GHG) emissions, decrease reliance on petroleum-based fuels, and promote domestic manufacturing. Light-duty EV sales have grown steadily since 2010, reaching 3.2 million units sold in 2024—approximately 20% of all U.S. light-duty vehicle sales. The deployment of PHEVs and BEVs, collectively referred to as plug-in electric vehicles, is closely linked to the availability of charging infrastructure. EV charging technologies are categorized into three charging levels, differentiated by the voltage of the electrical source: Level 1 (120 volts alternating current [AC]), Level 2 (240 volts AC), and direct current (DC) fast charging (Level 3). Different applications are available for residential, workplace, and public use. Public and private investment, including federal support through grant programs and tax incentives, has contributed to an expanding national network of EV charging stations. Continued expansion of access to charging infrastructure remains a key factor for future EV adoption. Federal policies supporting EVs and vehicle electrification have been shaped by laws such as the Infrastructure Investment and Jobs Act (IIJA; P.L. 117-58) and the law commonly referred to as the Inflation Reduction Act (IRA; P.L. 117-169). These laws have created or expanded programs and other incentives to support EV adoption, charging infrastructure deployment, and vehicle and infrastructure production. Key programs and incentives include the National Electric Vehicle Infrastructure (NEVI) Formula Program, Charging and Fueling Infrastructure (CFI) Grants, and tax credits for purchases of new and used EVs, for installation of EV charging infrastructure, and for domestic production of EV components and critical minerals. During the 119th Congress, executive..."
Defense Acquisition Reform: Executive and Legislative Branch Actions,8/26/25,Alexandra G. Neenan,www.congress.gov/crs-report/IN12600,"Background The Department of Defense (DOD) procures its weapon systems through the defense acquisition system (DAS), which typically determines the process by which DOD develops and buys goods and services from contractors. Over the past year, both the executive branch and Congress have introduced efforts to reform the DAS. Such efforts continue over a decade of DAS reform initiatives. While some analysts assert these initiatives have improved DOD acquisition processes, other analysts have argued that such acquisition reform efforts have generally yielded limited results, due in large part to DOD’s bureaucracy and processes. Title 10, Subtitle A, Part V, “Acquisition,” of the U.S. Code, addresses DOD-specific procurement policy. Title 10 also designates the Under Secretary of Defense for Acquisition and Sustainment (USD(A&S)) as the “chief acquisition and sustainment officer of the [DOD] with the mission of delivering and sustaining timely, cost-effective capabilities for the armed forces (and the Department).” The Defense Federal Acquisition Regulation Supplement (DFARS) implements this statute. DOD Directive (DODD) 5000.01, “The Defense Acquisition System,” is one internal DOD issuance that further implements statutes and regulations, and outlines policies and responsibilities for the operation of the DAS. Executive Branch Actions The Trump Administration has made deregulating government functions, including DOD acquisition, a policy priority, and issued Executive Order (E.O.) 14192, “Unleashing Prosperity Through Deregulation,” in January 2025. Its stated aim is to “alleviate unnecessary regulatory burdens,” a goal reflected in subsequent E.O.s and DOD-specific memoranda. Selected Executive Orders In April 2025, President Trump issued E.O. 14275, “Restoring Common Sense to Federal Procurement.” The E.O. called for “removing undue barriers, such as unnecessary regulations, while simultaneously allowing for the expansion of the national and defense industrial bases.” Also in April 2025, President Trump issued E.O. 14265 “Modernizing Defense Acquisitions and Spurring Innovation in the Defense Industrial Base.” This E.O...."
Appellate Courts Divided on Whether a Single Incident of Sexual Harassment Can Trigger Title IX Liability for Schools,8/26/25,Jared P. Cole,www.congress.gov/crs-report/LSB11352,"Title IX of the Education Amendments of 1972 (Title IX) prohibits sex discrimination in education programs and activities that receive federal financial assistance. Recipient schools can be liable under Title IX for an insufficient response to sexual harassment by a teacher or between students in certain circumstances. Federal appellate courts have taken diverging positions over when a school may be liable for its response to student-on-student (peer) harassment. The disagreement turns in part on how to interpret Supreme Court decisions establishing the general parameters of school liability in cases of sexual harassment, as well as legislation enacted pursuant to Congress’s spending power under the Constitution. The Supreme Court has repeatedly interpreted Title IX as enacted pursuant to Congress’s authority under the Spending Clause, which means legal obligations that flow from the law must be clear and unambiguous. A decision from the U.S. Court of Appeals for the Seventh Circuit (Seventh Circuit), Arana v. Board of Regents of University of Wisconsin System, has deepened the divisions among federal appellate courts on two distinct but closely related legal questions that arise under the framework adopted by the Supreme Court for establishing school liability in cases of peer harassment. First, courts disagree about whether a single instance of harassment that is sufficiently severe can trigger Title IX liability; second, courts are split as to whether a plaintiff must show that a school’s deliberate indifference to harassment resulted in further acts of harassment, or whether simply leaving a student more vulnerable to harassment is sufficient. This Sidebar begins by briefly describing the legal framework for sexual harassment claims available under Title IX, as established by two major Supreme Court decisions: Gebser v. Lago Vista Independent School District and Davis v. Monroe County Board of Education. It continues with a discussion of the developing splits..."
Colombia: Background and U.S. Relations,5/30/25,Clare Ribando Seelke,www.congress.gov/crs-report/R48287,"Colombia has been a key U.S. security and economic partner in South America for decades, although bilateral relations have grown tense over the past two years. Colombia has been among the top recipients of U.S. foreign assistance since the FY2000 launch of Plan Colombia, a counternarcotics and security initiative. U.S. assistance helped the Colombian government train and equip its security forces, regain control of territory from illegal armed groups, improve security, and compel the Revolutionary Armed Forces of Colombia (FARC) insurgency to negotiate. A 2016 peace accord with the FARC ended a half century of civil conflict and contributed to reductions in crime and insecurity. Since the FARC’s demobilization, other groups have fought for control of territory used for drug trafficking, alien smuggling, and other illicit industries amid a continued lack of state presence in many rural regions. In August 2022, Gustavo Petro, Colombia’s first leftist president and head of the Historic Pact (Pacto Histórico, or PH) coalition of left-leaning parties, took office for a four-year term. Petro promised to enact reforms to combat inequality, promote inclusion, and achieve peace through negotiations with the country’s remaining armed groups. The Petro government shepherded tax and pension reforms through the legislature and adopted a drug policy focused on land redistribution. In April 2025, Petro’s approval rating stood at 37%, considerably lower than when he took office. Observers have attributed Petro’s flagging approval to the gradual collapse of his governing coalition, scandals involving his family and Cabinet officials, and rising rural violence. Petro has largely abandoned his Total Peace initiative, which involved simultaneous negotiations with several armed groups—including the National Liberation Army (ELN)—that the military is now confronting. Implementation of the 2016 peace accord has faltered and may face further setbacks in the absence of initiatives formerly funded by the U.S. Agency for..."
"Salaries of Members of Congress: Congressional Votes, 1990-2025",8/26/25,Ida A. Brudnick,www.congress.gov/crs-report/97-615,"Article I, Section 6, of the U.S. Constitution requires that compensation for Members of Congress be “ascertained by law, and paid out of the Treasury of the United States.” Congress has relied on three different methods in adjusting salaries for Members. Specific legislation was last used to provide increases in 1990 and 1991. It was the only method used by Congress for many years. The second method, under which annual adjustments took effect automatically unless disapproved by Congress, was established in 1975. From 1975 to 1989, these annual adjustments were based on the rate of annual comparability increases given to the General Schedule (GS) federal employees. This method was changed by the 1989 Ethics Act to require that the annual adjustment be determined by a formula based on certain elements of the Employment Cost Index (ECI). Under this revised process, annual adjustments were accepted 13 times (scheduled for January 1991, 1992, 1993, 1998, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2008, and 2009) and denied 22 times (scheduled for January 1994, 1995, 1996, 1997, 1999, 2007, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024, and 2025). Since January 2009, the salary for Members of Congress has been $174,000. Subsequent adjustments were denied by P.L. 111-8 (enacted March 11, 2009), P.L. 111-165 (May 14, 2010), P.L. 111-322 (December 22, 2010), P.L. 112-175 (September 28, 2012), P.L. 112-240 (January 2, 2013), P.L. 113-46 (October 17, 2013), P.L. 113-235 (December 16, 2014), P.L. 114-113 (December 18, 2015), P.L. 114-254 (December 10, 2016), P.L. 115-141 (March 23, 2018), P.L. 115-244 (September 21, 2018), P.L. 116-94 (December 20, 2019), P.L. 116-260 (December 27, 2020), P.L. 117-103 (March 15, 2022), P.L. 117-328 (December 29, 2022), P.L. 118-47 (March 23, 2024), and P.L. 119-4 (March 15, 2025). Although provisions prohibiting..."
Ecosystem-Based Fisheries Management,8/25/25,Anthony R. Marshak,www.congress.gov/crs-report/IF12768,"Ecosystem-based fisheries management (EBFM; Figure 1) is a systems-level management approach for living marine resources (LMRs) that accounts for an ecosystem’s physical, biological, economic, and social components. This approach to fisheries management aims to maintain ecosystems and their dependent fisheries in healthy, productive, and resilient conditions to ensure they can provide services to human and biological communities. EBFM provides various benefits to complement traditional single-species (or single-stock) fisheries management, according to some experts. For example, EBFM may provide additional information regarding how ecosystems function and how ecosystems may respond to multiple stressors and their cumulative impacts. EBFM also may provide insight into trade-offs among different stakeholder priorities for LMRs and their fisheries. This information can inform fisheries management decisions. Experts also have identified challenges regarding EBFM and its implementation (e.g., potential lack of resonation with stakeholders). Congress continues to be interested in LMR management that includes considerations for marine ecosystems. Congress has authorized the National Oceanic and Atmospheric Administration’s (NOAA’s) National Marine Fisheries Service (NMFS) to manage U.S. LMRs under multiple mandates, such as the Magnuson-Stevens Fishery Conservation and Management Act (MSA; 16 U.S.C. §§1807-1891d) and the Marine Mammal Protection Act (16 U.S.C. §§1361-1423h). In these laws, Congress has included directives for LMR management to account for species’ roles in marine ecosystems. Figure 1. Various Levels of Ecosystem Management / Source: CRS, modified from National Oceanic and Atmospheric Administration (NOAA), National Marine Fisheries Service (NMFS). Notes: Illustration of the various hierarchical levels of ecosystem management, particularly focused on the fisheries sector. From bottom to top, it depicts management of fisheries and other sectors in a marine ecosystem, building from (1) single species fisheries management of a particular stock in a fishery management plan (FMP) to (2) an ecosystem approach to fisheries management accounting for environmental effects (i.e., climate, habitat, ecology)..."
Constitution Day and Citizenship Day: Fact Sheet,8/25/25,Kelly M. Hoffman,www.congress.gov/crs-report/R48174,"Constitution Day and Citizenship Day is a federal commemoration observed annually on September 17 by encouraging citizens to learn about their civic responsibilities and opportunities. This fact sheet is designed to assist congressional offices with work related to Constitution Day and Citizenship Day. It provides authoritative information resources, including links to legislation, CRS reports, sample speeches and remarks from the Congressional Record, and presidential proclamations and remarks. It also links to additional government resources and selected advocacy, educational, and cultural organizations. [Summary suppressed. Tags: Constitution, citizenship, national observances, civics education, naturalization, immigrants.]"
Surface Transportation Reauthorization: Public Transportation,8/25/25,William J. Mallett,www.congress.gov/crs-report/R48644,"Federal funding assistance to public transportation agencies is provided primarily through the public transportation program administered by the Department of Transportation’s Federal Transit Administration (FTA). The federal public transportation program was most recently authorized from FY2022 through FY2026 as part of the Infrastructure Investment and Jobs Act (IIJA; P.L. 117-58). The IIJA authorizations are set to expire on September 30, 2026. Congress may consider a number of issues and policy options related to possible reauthorization of public transportation funding. The overall level of funding for the public transportation program is typically a major topic in surface transportation reauthorization. The IIJA provided about a 67% increase (in nominal dollars) in annual funding for public transportation compared with the prior authorization, the Fixing America’s Surface Transportation Act (FAST Act; P.L. 114-94), as extended. Public transportation program funding authorized and appropriated under IIJA averaged $21.4 billion annually in FY2022-FY2026. Inflation, particularly in 2021-2023, has eroded some of the purchasing power of this funding. The source of funds for the public transportation program, along with the solvency of the Highway Trust Fund (HTF) and its two accounts—the highway account and the mass transit account—may be another issue in the reauthorization debate. Traditionally, 80% of program funding has come from the mass transit account of the HTF. Outlays from the account have outpaced receipts, excluding U.S. Treasury General Fund (general fund) transfers, for over two decades, an imbalance the Congressional Budget Office (CBO) projects will continue in the future under current law. Bringing the receipts and outlays of the mass transit account into balance would involve a cut in program spending, an increase in revenues paid into the account, or a combination of the two. An increase in revenues could involve a commitment to regular transfers from the general fund. In addition to funding from..."
The U.S. Army’s Infantry Squad Vehicle (ISV),8/25/25,Andrew Feickert; Ebrima M'Bai,www.congress.gov/crs-report/IF13092,"The Infantry Squad Vehicle (ISV) The ISV (Error! Reference source not found.) is a lightweight, unarmored ground transport vehicle developed by GM Defense (headquartered in Detroit, MI) intended to enhance the mobility of Army Infantry Brigade Combat Teams (IBCTs), Security Force Assistance Brigades (SFABs), and Army Special Operations Forces (ARSOF). According to the Army, the ISV was designed to move nine soldiers and their equipment rapidly across terrain where heavier vehicles such as the Joint Light Tactical Vehicle (JLTV) or High Mobility Multipurpose Wheeled Vehicle (HMMWV) may be less practical or effective. Figure 1.Infantry Squad Vehicle (ISV) / Source: GM Defense, https://www.gmdefensellc.com/site/us/en/gm-defense/home/integrated-vehicles/infantry-squad-vehicle.html, accessed August 25, 2025. Background The JLTV, HMMWV, and ISV constitute the Army’s Light Tactical Vehicle (LTV) fleet. The Army has evaluated the ISV in exercises as part of the Army’s Transformation in Contact (TIC) modernization program with the intention to improve infantry mobility. Previous reliance on HMMWVs and JLTVs, which offered greater protection, reportedly presented challenges in terms of speed, cross-country mobility, and air transport. The Army adopted a commercial offtheshelf (COTS) acquisition approach for the ISV to minimize costs and field the vehicle quickly. GM Defense’s Chevrolet Colorado ZR2 mid-sized truck was chosen as the baseline ISV platform, deriving 90% of its parts from COTS components, with modifications made for suspension, structure, and loadcarrying capacity. ISV Specifications The ISV is approximately 17 feet (ft) in length, 6.8 ft in width, and 6 ft in height, with a payload capacity near 3,200 pounds. The ISV is about the same size as the HMMWV, smaller than the JLTV, and has less payload capacity than the HMMWV and JLTV. According to GM Defense, the ISV has a Roll Over Protection System (ROPS) and can be flown to the battlefield by means of a low-velocity air drop by parachute or..."
"Overview of FY2026 Appropriations for Commerce, Justice, Science, and Related Agencies (CJS)",8/18/25,Nathan James,www.congress.gov/crs-report/R48643,"This report describes actions to provide FY2026 appropriations for Commerce, Justice, Science, and Related Agencies (CJS) accounts. The annual CJS appropriations act provides funding for the Department of Commerce, which includes bureaus and offices such as the Census Bureau, the U.S. Patent and Trademark Office, the National Oceanic and Atmospheric Administration, and the National Institute of Standards and Technology; the Department of Justice (DOJ), which includes agencies such as the Federal Bureau of Investigation, the Bureau of Prisons, the U.S. Marshals Service, the Drug Enforcement Administration, and the Offices of the U.S. Attorneys; the National Aeronautics and Space Administration; the National Science Foundation; and several related agencies such as the Legal Services Corporation and the Equal Employment Opportunity Commission. The Full-Year Continuing Appropriations and Extensions Act, 2025 (FY2025 CR, P.L. 119-4) provides FY2025 funding for most CJS accounts at the FY2024 enacted level. The CR reduced funding for several CJS accounts relative to the FY2024 enacted appropriation. The reductions were the result of eliminating certain funding in CJS accounts that was for community funding projects (also known as earmarks) in FY2024. The CR also increased funding for two DOJ accounts and increased the obligation cap for the Crime Victims Fund. For FY2026, the Administration requests a total of $67.719 billion for the departments and agencies funded through CJS. This amount is $14.781 billion (-17.9%) less than regular FY2025 enacted funding for CJS ($82.501 billion). The Administration’s request includes $9.020 billion for the Department of Commerce, which is $1.368 billion (-13.2%) less than the FY2025 regular appropriation; $35.271 billion for DOJ, which is $1.695 billion (-4.6%) less than the FY2025 regular appropriation; $22.722 billion for the science agencies, which is $11.186 billion (-33.0%) less than the FY2025 regular appropriation; and $705 million for the related agencies, which is $532 million (-43.0%)..."
U.S.-China Tariff Actions Since 2018: An Overview,8/26/25,Karen M. Sutter,www.congress.gov/crs-report/IF12990,"Since 2018, the U.S. government has imposed a series of tariffs on imports from the People’s Republic of China (PRC, or China) with the stated intention of addressing U.S. concerns about PRC trade practices and foreign policies. Since January 2025, the Trump Administration’s trade policy and tariff actions have maintained a focus on China among other countries. Some actions explicitly target China; others involve sectors that affect China. The PRC has responded to U.S. tariffs with its own tariffs and market restrictions. Given the trade imbalance (China exports to the United States more than four times what it imports), China has fewer goods on which to raise tariffs. China has focused its tariffs on top U.S. exports and canceled orders, implemented export controls on some production inputs, and imposed market restrictions on some U.S. firms. Both sides have exempted some products from tariffs. Members of Congress may consider whether to support, modify, or oppose the Administration’s approach to tariffs; whether to sustain, expand, or pull back trade authorities Congress delegated to the President; and whether to require approval by Congress for trade deals that result in tariff changes. Escalating Tariff Rates By mid-April 2025, U.S. and PRC average tariff rates on the other country’s goods were about 164% and 146%, respectively (not accounting for tariff exemptions). Average tariff rates fell to 49% (U.S.) and 31% (PRC) in mid-May 2025 when both sides agreed to reduce “reciprocal tariffs” to 10% for 90 days during tariff negotiations, and, in mid-August extended this interim rate until November 10, 2025. Most U.S. tariff actions on China are cumulative (Table 1). U.S. tariffs: In 2017, the average U.S. tariff rate on PRC goods was about 2.7%. The rate rose to about 19% by 2023 with tariffs imposed under Section 301 of the Trade Act of..."
